density,total_population,cancer,binge,csmoking,lpa,sleep,cancer_risk
44.1,25722,6.6,16.7,25.9,34.8,43.4,6.5-7
36.3,18413,6.3,15.8,25.3,38.1,41.3,6-6.5
24.1,8182,6.0,14.9,25.5,42.3,39.1,6-6.5
43.2,11177,6.4,15.8,25.2,37.9,40.0,6-6.5
8.8,3025,6.1,16.0,22.7,36.3,41.8,6-6.5
174.5,44986,6.2,15.7,22.5,33.4,41.5,6-6.5
83.4,19354,6.5,17.8,23.8,34.6,38.9,6.5-7
523.8,83976,6.4,17.0,20.8,33.6,39.0,6-6.5
235.7,108306,6.5,17.0,21.0,32.1,38.5,6.5-7
66.6,16651,6.3,15.2,24.3,38.8,41.2,6-6.5
43.1,19478,6.6,15.9,26.3,37.7,39.7,6.5-7
614.6,153494,6.1,14.8,22.5,34.9,43.7,6-6.5
59.9,12938,6.5,16.0,21.8,33.1,39.7,6.5-7
43.3,19171,6.7,16.5,27.4,37.7,38.9,6.5-7
31.1,15354,6.3,15.1,22.5,36.0,42.0,6-6.5
91.9,40081,6.5,17.7,16.7,26.9,35.6,6.5-7
119.7,80548,6.5,15.9,21.1,32.7,39.1,6.5-7
27.1,22380,6.2,15.2,23.7,36.2,43.6,6-6.5
136.7,25209,6.4,16.1,25.0,35.8,41.3,6-6.5
22.0,6180,5.9,14.7,28.1,42.1,45.0,5.5-6
89.6,54907,6.4,17.8,19.3,29.9,38.2,6-6.5
44.6,10840,6.3,15.6,25.6,40.3,39.9,6-6.5
241.7,120634,6.5,16.8,22.0,31.9,41.1,6.5-7
418.8,67906,6.8,18.1,20.0,29.4,37.3,6.5-7
17.5,13529,6.3,16.1,26.8,39.3,40.7,6-6.5
679.3,289676,6.2,16.9,18.1,29.1,38.9,6-6.5
44.1,10969,6.1,17.0,19.6,32.5,39.5,6-6.5
79.2,24828,6.6,16.9,27.3,36.6,40.6,6.5-7
618.4,260752,6.5,17.9,15.0,24.4,34.8,6.5-7
